delivery_point,date,delivery_address,percentageBusy,percentageAvailable,appointmentTime,availability
Balcarce,07-11-2017,Balcarce 360,100,0,10:00,0
Balcarce,07-11-2017,Balcarce 360,100,0,10:30,0
Balcarce,07-11-2017,Balcarce 360,42.42424242424242,57.57575757575758,11:00,19
Balcarce,07-11-2017,Balcarce 360,9.090909090909093,90.9090909090909,11:30,30
Balcarce,07-11-2017,Balcarce 360,20.51282051282051,79.48717948717949,12:00,31
Balcarce,07-11-2017,Balcarce 360,10.256410256410263,89.74358974358974,13:00,35
Balcarce,07-11-2017,Balcarce 360,10.256410256410263,89.74358974358974,13:30,35
Balcarce,07-11-2017,Balcarce 360,28.205128205128204,71.7948717948718,14:00,28
Balcarce,07-11-2017,Balcarce 360,17.948717948717942,82.05128205128206,14:30,32
Balcarce,07-11-2017,Balcarce 360,48.717948717948715,51.282051282051285,15:00,20
