delivery_point,date,delivery_address,percentageBusy,percentageAvailable,appointmentTime,availability
Sede Comunal 12,07-11-2017,Holmberg 2548,100,0,10:00,0
Sede Comunal 12,07-11-2017,Holmberg 2548,100,0,10:30,0
Sede Comunal 12,07-11-2017,Holmberg 2548,100,0,11:00,0
Sede Comunal 12,07-11-2017,Holmberg 2548,100,0,11:30,0
Sede Comunal 12,07-11-2017,Holmberg 2548,100,0,12:00,0
Sede Comunal 12,07-11-2017,Holmberg 2548,100,0,13:00,0
Sede Comunal 12,07-11-2017,Holmberg 2548,100,0,13:30,0
Sede Comunal 12,07-11-2017,Holmberg 2548,100,0,14:00,0
Sede Comunal 12,07-11-2017,Holmberg 2548,100,0,14:30,0
Sede Comunal 12,07-11-2017,Holmberg 2548,100,0,15:00,0
